age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path,face_number
29,"{'x': 872, 'y': 491, 'w': 458, 'h': 458, 'left_eye': (1190, 640), 'right_eye': (1033, 674)}",0.98,"{'Woman': 99.20177459716797, 'Man': 0.7982306182384491}",Woman,"{'asian': 25.862818956375122, 'indian': 21.65888100862503, 'black': 9.666726738214493, 'white': 9.219121932983398, 'middle eastern': 7.759355008602142, 'latino hispanic': 25.833097100257874}",asian,"{'angry': 17.139251061633292, 'disgust': 0.001829541106327093, 'fear': 37.201993894695875, 'happy': 0.49986572190318834, 'sad': 8.530158312926192, 'surprise': 0.9592145321795066, 'neutral': 35.66768978045522}",fear,image/adults/image6.jpeg,1
23,"{'x': 274, 'y': 386, 'w': 566, 'h': 566, 'left_eye': (659, 599), 'right_eye': (449, 595)}",0.9,"{'Woman': 99.24333095550537, 'Man': 0.7566677872091532}",Woman,"{'asian': 6.281539232682999e-05, 'indian': 0.00014400652037218367, 'black': 1.391154225844851e-06, 'white': 99.17247305244528, 'middle eastern': 0.5274987150730235, 'latino hispanic': 0.299817544057364}",white,"{'angry': 25.970102904445106, 'disgust': 0.659437377195798, 'fear': 2.9716320244450585, 'happy': 28.590826904226954, 'sad': 17.018588901674086, 'surprise': 0.07588779424020911, 'neutral': 24.713528139205465}",happy,image/adults/image7.jpeg,1
25,"{'x': 262, 'y': 168, 'w': 980, 'h': 980, 'left_eye': (900, 569), 'right_eye': (588, 561)}",0.95,"{'Woman': 0.002704275175346993, 'Man': 99.9972939491272}",Man,"{'asian': 4.753181621621944, 'indian': 4.048511627227761, 'black': 1.1446819391657077, 'white': 46.95565086338823, 'middle eastern': 18.059591535305472, 'latino hispanic': 25.038380923174675}",white,"{'angry': 0.2243853872641921, 'disgust': 7.55332602020431e-09, 'fear': 3.0330346897244453, 'happy': 0.00012086745755368611, 'sad': 95.92832922935486, 'surprise': 1.2152342776516889e-05, 'neutral': 0.8141148835420609}",sad,image/adults/image13.jpeg,1
23,"{'x': 467, 'y': 599, 'w': 255, 'h': 255, 'left_eye': (637, 685), 'right_eye': (545, 716)}",0.95,"{'Woman': 32.42267370223999, 'Man': 67.57733225822449}",Man,"{'asian': 91.25227332115173, 'indian': 3.2511603087186813, 'black': 0.9721634909510612, 'white': 0.31591402366757393, 'middle eastern': 0.04937797202728689, 'latino hispanic': 4.15910929441452}",asian,"{'angry': 52.25327326376875, 'disgust': 0.048436393239469425, 'fear': 4.23382098876363, 'happy': 0.00011888223097327308, 'sad': 28.55572870705895, 'surprise': 0.03155292840151807, 'neutral': 14.877068393055701}",angry,image/adults/image10.jpeg,1
34,"{'x': 0, 'y': 0, 'w': 1200, 'h': 1800, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 4.565555229783058, 'Man': 95.4344391822815}",Man,"{'asian': 0.0038951522583374754, 'indian': 0.5834323819726706, 'black': 0.08540495182387531, 'white': 85.86142659187317, 'middle eastern': 11.090496927499771, 'latino hispanic': 2.37534511834383}",white,"{'angry': 10.712907356793126, 'disgust': 0.001965668278737245, 'fear': 20.880275719182237, 'happy': 0.19867176908533388, 'sad': 2.510038726630135, 'surprise': 60.32708050770047, 'neutral': 5.3690630417503735}",surprise,image/adults/image8.jpeg,1
26,"{'x': 74, 'y': 287, 'w': 1098, 'h': 1098, 'left_eye': (830, 705), 'right_eye': (395, 752)}",0.89,"{'Woman': 99.97615218162537, 'Man': 0.023844369570724666}",Woman,"{'asian': 0.9945534846718925, 'indian': 0.15403188791490938, 'black': 0.008827833192224941, 'white': 80.43577904274713, 'middle eastern': 6.530903246295065, 'latino hispanic': 11.875899210465048}",white,"{'angry': 0.2643699449670282, 'disgust': 1.734908847852667e-09, 'fear': 0.3048175894732827, 'happy': 2.3761685947416345e-05, 'sad': 1.0575373356066546, 'surprise': 5.614834443439386e-06, 'neutral': 98.37324609597005}",neutral,image/adults/image4.jpeg,1
29,"{'x': 193, 'y': 401, 'w': 891, 'h': 891, 'left_eye': (796, 763), 'right_eye': (453, 747)}",0.92,"{'Woman': 1.6439767591691634e-05, 'Man': 99.99998807907104}",Man,"{'asian': 0.0693966168910265, 'indian': 15.545238554477692, 'black': 0.2649275120347738, 'white': 4.5805372297763824, 'middle eastern': 70.80105543136597, 'latino hispanic': 8.738847076892853}",middle eastern,"{'angry': 1.8340995535254478, 'disgust': 1.5517682624976992e-09, 'fear': 97.53336906433105, 'happy': 0.562796788290143, 'sad': 0.0003392661710677203, 'surprise': 0.06939344457350671, 'neutral': 5.61232949003454e-08}",fear,image/adults/image5.jpeg,1
36,"{'x': 269, 'y': 504, 'w': 529, 'h': 529, 'left_eye': None, 'right_eye': None}",0.96,"{'Woman': 0.027527357451617718, 'Man': 99.97246861457825}",Man,"{'asian': 5.001515313018956e-08, 'indian': 9.470606983086327e-05, 'black': 99.99990463256836, 'white': 6.179129914175591e-13, 'middle eastern': 1.5846572956897229e-13, 'latino hispanic': 4.816088639003624e-08}",black,"{'angry': 74.2382824420929, 'disgust': 0.051949662156403065, 'fear': 1.6636500135064125, 'happy': 0.00223056831600843, 'sad': 9.277601540088654, 'surprise': 0.0010319203283870593, 'neutral': 14.765261113643646}",angry,image/adults/image9.jpeg,1
34,"{'x': 0, 'y': 0, 'w': 2250, 'h': 1500, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 13.197614252567291, 'Man': 86.80238723754883}",Man,"{'asian': 10.256913170630526, 'indian': 8.404425287510472, 'black': 28.694971126018235, 'white': 20.43917598957872, 'middle eastern': 14.534907909328217, 'latino hispanic': 17.669607261991935}",black,"{'angry': 99.93515014261902, 'disgust': 0.00510895036752133, 'fear': 0.05336236526741774, 'happy': 0.0034935770863331237, 'sad': 0.002194885877401285, 'surprise': 0.0003978082314195128, 'neutral': 0.00028950384509964715}",angry,image/adults/image11.jpeg,1
27,"{'x': 422, 'y': 53, 'w': 447, 'h': 447, 'left_eye': (720, 225), 'right_eye': (544, 233)}",0.93,"{'Woman': 0.667973980307579, 'Man': 99.33202266693115}",Man,"{'asian': 5.103832855820656, 'indian': 3.378193825483322, 'black': 4.758866503834724, 'white': 35.605865716934204, 'middle eastern': 9.494943171739578, 'latino hispanic': 41.65830612182617}",latino hispanic,"{'angry': 21.93230670287053, 'disgust': 0.004932414888799705, 'fear': 78.05409300649721, 'happy': 0.001283175410293719, 'sad': 0.0006091871818386527, 'surprise': 0.006774836623658933, 'neutral': 5.275583395948055e-07}",fear,image/adults/image2.jpeg,1
29,"{'x': 488, 'y': 164, 'w': 347, 'h': 347, 'left_eye': (718, 298), 'right_eye': (594, 300)}",0.94,"{'Woman': 0.002531489917600993, 'Man': 99.99747276306152}",Man,"{'asian': 0.003063721668178799, 'indian': 0.008135760921167771, 'black': 0.00023916228988357064, 'white': 95.6273918596039, 'middle eastern': 2.2876002892732274, 'latino hispanic': 2.0735637606902406}",white,"{'angry': 2.2146433992231707e-09, 'disgust': 4.4046745617402175e-19, 'fear': 0.0011790714779635891, 'happy': 3.422376271267069e-09, 'sad': 1.7296332823022592e-11, 'surprise': 99.99881982803345, 'neutral': 1.0526211611607811e-15}",surprise,image/adults/image3.jpeg,1
